CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,512.0,1024.0,6165.0,160000,1446971,4281586.9,100.0,839,105
2G,1,384.0,768.0,3072.0,131072,1156141,2964784.3,69.2,691,98
2.25G,1,560.0,1280.0,6165.0,131072,95849,878416.3,20.5,137,35
Unknown,1,640.0,7680.0,19328.0,160000,194979,438386.4,10.2,669,89
High,1,1.0,1.0,1.0,1,2,0.0,0.0,1,1
