Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,5.0,14.0,50.0,1331,337303,4274275.0,100.0,1562622.2,100.0,970,114
Unidentified,0,8.0,16.0,82.0,1331,191211,1474078.0,34.5,508418.0,32.5,829,105
VASP,1,4.0,10.0,32.0,600,34808,839936.0,19.7,316569.8,20.3,156,15
CP2K,1,8.0,8.0,16.0,72,12550,247386.5,5.8,81506.4,5.2,35,7
GROMACS,1,4.0,6.0,8.0,22,7795,191514.8,4.5,97711.1,6.3,38,4
CASTEP,1,8.0,20.0,50.0,50,4365,159421.2,3.7,48721.6,3.1,31,4
Python,1,12.0,16.0,16.0,980,6585,143812.2,3.4,39941.7,2.6,63,26
FHI aims,1,4.0,8.0,28.0,64,5803,139940.8,3.3,57725.8,3.7,28,6
LAMMPS,1,2.0,6.0,20.0,1024,10632,138293.4,3.2,55438.4,3.5,56,17
Met Office UM,1,9.0,21.0,24.0,100,33612,106646.8,2.5,33872.5,2.2,19,2
Nektar++,1,40.0,40.0,42.0,144,311,102441.4,2.4,39206.0,2.5,6,2
OpenFOAM,1,4.0,8.0,16.0,160,2105,83315.8,1.9,31909.4,2.0,49,18
MITgcm,1,2.0,2.0,2.0,10,12789,70726.2,1.7,26826.5,1.7,16,4
CESM,1,4.0,8.0,14.0,46,1556,61694.0,1.4,25022.3,1.6,13,3
GENE,1,80.0,80.0,80.0,128,114,60643.5,1.4,25498.5,1.6,3,2
Quantum Espresso,1,1.0,8.0,8.0,32,3677,60491.3,1.4,23929.8,1.5,47,9
SENGA,1,32.0,41.0,51.0,64,105,48351.0,1.1,26548.0,1.7,4,3
SBLI,1,500.0,500.0,500.0,1024,28,36105.7,0.8,12581.4,0.8,4,3
OpenSBLI,1,500.0,500.0,500.0,1024,22,36104.6,0.8,12581.0,0.8,3,2
ONETEP,1,30.0,30.0,30.0,64,118,35406.6,0.8,14595.9,0.9,5,1
GAMESS,1,1.0,1.0,1.0,1,790,33534.6,0.8,11771.9,0.8,10,1
NEMO,2,10.0,32.0,81.0,118,701,32450.0,0.8,10151.8,0.6,20,3
Hydro3D,2,63.0,63.0,163.0,163,76,31366.6,0.7,11263.8,0.7,4,2
PeleLMeX,1,16.0,16.0,32.0,32,98,19017.6,0.4,1205.2,0.1,3,1
NAMD,1,3.0,4.0,4.0,8,293,16914.2,0.4,8316.9,0.5,4,2
HYDRA,1,5.0,200.0,200.0,300,139,14336.8,0.3,5984.1,0.4,5,4
WRF,1,3.0,3.0,3.0,8,97,12315.9,0.3,4857.9,0.3,4,2
NWChem,1,4.0,8.0,8.0,12,468,11511.7,0.3,5427.5,0.3,6,2
CRYSTAL,1,5.0,5.0,10.0,16,348,10738.7,0.3,3905.7,0.2,7,3
EPOCH,1,10.0,10.0,32.0,32,577,10627.3,0.2,4056.1,0.3,7,1
Xcompact3d,1,30.0,45.0,45.0,128,110,8547.3,0.2,3266.5,0.2,7,3
AxiSEM3D,8,100.0,125.0,200.0,900,87,8178.9,0.2,2670.4,0.2,1,1
ChemShell,1,5.0,5.0,8.0,8,358,7753.6,0.2,3526.4,0.2,5,1
a.out,1,1.0,6.0,32.0,32,1227,6871.1,0.2,2533.5,0.2,17,9
Code_Saturne,1,8.0,8.0,16.0,64,660,6478.0,0.2,2592.2,0.2,6,4
VAMPIRE,1,4.0,8.0,8.0,16,455,5629.4,0.1,2020.3,0.1,5,2
Amber,64,64.0,64.0,64.0,64,3,4608.8,0.1,1048.9,0.1,1,1
ptau3d,1,20.0,20.0,20.0,20,90,4332.9,0.1,1173.4,0.1,3,1
3DNS,2,63.0,108.0,138.0,138,116,3872.7,0.1,1414.6,0.1,1,1
iIMB,18,18.0,18.0,18.0,18,48,3826.5,0.1,1394.7,0.1,1,1
ludwig,1,64.0,64.0,64.0,64,829,3699.5,0.1,1774.0,0.1,2,2
GS2,1,16.0,19.0,92.0,92,205,3344.6,0.1,1237.5,0.1,4,1
SIESTA,1,1.0,1.0,25.0,25,1056,2898.9,0.1,901.7,0.1,3,2
TPLS,16,16.0,16.0,16.0,16,16,2655.0,0.1,851.2,0.1,2,1
PDNS3D,8,8.0,8.0,8.0,8,34,2347.1,0.1,994.2,0.1,1,1
Nek5000,8,8.0,8.0,8.0,16,26,1707.8,0.0,712.7,0.0,2,1
HemeLB,1,8.0,8.0,8.0,10,16,1481.7,0.0,527.3,0.0,2,2
Smilei,1,16.0,16.0,16.0,32,28,1415.6,0.0,457.1,0.0,2,1
RMT,10,14.0,14.0,14.0,14,51,822.2,0.0,297.2,0.0,2,1
DL_MESO,1,2.0,2.0,2.0,2,20,519.1,0.0,157.5,0.0,1,1
FDS,2,2.0,2.0,2.0,4,5,96.3,0.0,54.8,0.0,1,1
Arm Forge,1,2.0,10.0,10.0,10,59,74.7,0.0,22.8,0.0,9,9
UKRmol+,4,4.0,4.0,4.0,4,15,48.7,0.0,13.7,0.0,1,1
DL_POLY,1,1.0,2.0,2.0,2,19,39.7,0.0,13.7,0.0,3,2
OSIRIS,8,8.0,8.0,8.0,8,10,3.6,0.0,1.1,0.0,1,1
SU2,1,1.0,1.0,1.0,1,3,2.5,0.0,1.1,0.0,1,1
PRECISE,1,1.0,1.0,1.0,1,2,0.1,0.0,0.0,0.0,1,1
GPAW,1,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,1,1
FVCOM,1,1.0,1.0,1.0,1,3,0.0,0.0,0.0,0.0,1,1
