CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,1.0,32.0,131072,2324813,3291373.7,100.0,798,117
2G,1,1.0,1.0,32.0,131072,2214070,2903023.8,88.2,737,115
2.25G,1,1.0,12.0,264.0,131072,66137,374998.0,11.4,113,30
Unknown,1,1.0,16.0,16.0,12288,44606,13352.0,0.4,23,17
