CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,512.0,1024.0,3072.0,131072,2324813,3291373.7,100.0,798,117
2G,1,512.0,1024.0,3584.0,131072,2214070,2903023.8,88.2,737,115
2.25G,1,512.0,1024.0,1280.0,131072,66137,374998.0,11.4,113,30
Unknown,1,2048.0,3584.0,4096.0,12288,44606,13352.0,0.4,23,17
