Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,1.0,2.0,4.0,2950,259581,4982521.8,100.0,1832676.7,100.0,906,112
Unidentified,1,1.0,1.0,4.0,2950,111888,1972026.8,39.6,686708.5,37.5,792,103
VASP,1,1.0,1.0,4.0,1448,46700,920488.1,18.5,342906.1,18.7,144,16
FHI aims,1,4.0,4.0,8.0,192,4508,229386.9,4.6,80329.4,4.4,25,5
GROMACS,1,2.0,2.0,2.0,22,39169,221357.7,4.4,94285.7,5.1,41,6
LAMMPS,1,1.0,1.0,4.0,1024,5212,210226.6,4.2,83100.2,4.5,58,21
SENGA,1,38.8,64.0,64.0,64,128,175535.2,3.5,92380.7,5.0,3,2
OpenFOAM,1,1.0,2.0,4.0,200,3247,139627.1,2.8,52185.8,2.8,52,19
CASTEP,1,1.0,1.0,2.0,96,4929,126607.1,2.5,49207.0,2.7,34,5
CP2K,1,2.0,8.0,8.0,42,4713,88542.3,1.8,30067.0,1.6,39,10
Python,1,1.0,6.0,8.0,512,4691,82507.2,1.7,26899.8,1.5,54,27
HYDRA,1,8.0,16.0,16.0,100,274,79787.5,1.6,24807.3,1.4,6,3
CRYSTAL,1,8.0,12.0,16.0,60,251,75448.9,1.5,25402.6,1.4,6,2
NEMO,1,10.0,10.0,13.0,136,836,52295.3,1.0,18227.6,1.0,19,3
Met Office UM,1,9.0,16.0,21.0,81,6064,50167.5,1.0,16761.6,0.9,17,3
OpenSBLI,1,1.0,2.0,2.0,1024,97,45326.5,0.9,15312.8,0.8,4,3
ChemShell,1,2.0,4.0,8.0,16,628,43685.3,0.9,14961.6,0.8,6,1
Quantum Espresso,1,1.0,2.0,4.0,32,2465,43216.7,0.9,15979.2,0.9,23,6
Nektar++,1,4.0,25.0,35.0,80,190,42838.9,0.9,15669.3,0.9,8,3
GENE,1,20.0,28.0,64.0,160,67,40365.5,0.8,16690.0,0.9,3,2
MITgcm,1,2.0,2.0,2.0,3,4188,35460.8,0.7,12976.0,0.7,12,2
Xcompact3d,15,128.0,128.0,128.0,128,16,30827.9,0.6,11751.6,0.6,2,1
EPOCH,1,8.0,8.0,10.0,256,1003,29441.9,0.6,11655.3,0.6,8,1
Code_Saturne,1,1.0,16.0,16.0,128,182,28285.8,0.6,10930.6,0.6,4,2
a.out,1,1.0,1.0,1.0,32,4815,23010.0,0.5,8504.8,0.5,11,6
ONETEP,1,1.0,1.0,8.0,20,433,22032.8,0.4,8203.7,0.4,8,2
iIMB,16,18.0,18.0,78.0,128,91,20906.6,0.4,7011.1,0.4,1,1
SIESTA,1,1.0,8.0,18.0,24,147,19497.0,0.4,7338.6,0.4,3,2
GS2,4,17.0,17.0,17.0,19,77,18036.0,0.4,6956.7,0.4,3,2
VAMPIRE,1,8.0,8.0,16.0,64,831,16203.3,0.3,6714.7,0.4,6,2
PeleLMeX,1,4.0,16.0,24.0,64,53,15784.4,0.3,6137.7,0.3,4,1
WRF,1,3.0,3.0,3.0,3,102,13647.2,0.3,5385.3,0.3,3,1
GAMESS,1,1.0,1.0,1.0,1,167,11974.4,0.2,4004.1,0.2,2,1
NAMD,1,4.0,4.0,4.0,8,92,10808.0,0.2,5818.9,0.3,6,4
Hydro3D,1,6.0,6.0,8.0,16,101,10696.6,0.2,3914.5,0.2,2,2
CESM,1,1.0,5.0,11.0,25,263,7999.3,0.2,3071.6,0.2,8,2
AxiSEM3D,1,1.0,2.0,20.0,60,53,7230.3,0.1,2261.9,0.1,2,1
Nek5000,8,8.0,8.0,16.0,16,44,6522.1,0.1,2536.9,0.1,2,1
OSIRIS,32,32.0,32.0,32.0,32,11,3859.0,0.1,1103.6,0.1,1,1
HemeLB,4,8.0,8.0,40.0,128,45,3072.4,0.1,1486.5,0.1,2,1
NWChem,1,1.0,1.0,1.0,14,10418,2634.0,0.1,886.8,0.0,11,6
RMT,3,10.0,10.0,20.0,35,124,1916.2,0.0,689.2,0.0,4,1
FDS,2,2.0,3.0,4.0,4,16,1132.5,0.0,632.1,0.0,1,1
ECOGEN,8,12.0,24.0,24.0,24,6,832.2,0.0,401.1,0.0,1,1
ptau3d,2,4.0,8.0,10.0,20,105,811.4,0.0,245.2,0.0,1,1
FVCOM,1,1.0,1.0,1.0,1,78,305.3,0.0,131.2,0.0,1,1
UKRmol+,1,1.0,2.0,2.0,4,21,88.5,0.0,21.8,0.0,1,1
TPLS,4,4.0,4.0,4.0,4,1,48.0,0.0,17.6,0.0,1,1
Arm Forge,1,4.0,4.0,6.0,8,25,12.3,0.0,3.0,0.0,3,3
PDNS3D,2,2.0,8.0,8.0,8,13,7.8,0.0,2.4,0.0,2,1
Zacros,4,4.0,4.0,4.0,4,2,0.2,0.0,0.0,0.0,1,1
ludwig,1,1.0,1.0,1.0,1,1,0.1,0.0,0.1,0.0,1,1
