CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,512.0,1024.0,4096.0,262144,1750353,2643097.3,100.0,775,116
2G,1,512.0,1024.0,2304.0,262144,1454320,1799106.3,68.1,645,106
2.25G,1,512.0,1024.0,4096.0,131072,229512,641527.8,24.3,131,34
Unknown,1,512.0,2048.0,51200.0,131072,66507,202462.2,7.7,570,95
1.50G,1280,1280.0,1280.0,1280.0,1280,1,0.9,0.0,1,1
Highm1,8,8.0,8.0,8.0,8,13,0.0,0.0,1,1
