CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,32.0,128.0,131072,2363565,3722926.6,100.0,919,121
2G,1,1.0,32.0,128.0,131072,2075677,2528877.8,67.9,764,109
2.25G,1,8.0,8.0,64.0,131072,157134,868390.2,23.3,150,38
Unknown,1,2.0,128.0,128.0,99712,130654,325611.4,8.7,724,105
1.50G,128,128.0,128.0,128.0,128,85,47.2,0.0,2,1
Highm1,4,8.0,8.0,8.0,8,15,0.0,0.0,1,1
