CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0.0,163.5,180.5,332.8,849.1,959719,3870642.2,98.5,1257378.9,97.9,603,89
2G,0.0,163.5,180.0,331.0,849.1,951307,3268327.2,83.2,1006482.4,78.4,564,85
2.25G,0.0,442.4,496.5,531.5,700.0,8406,602312.6,15.3,250895.6,19.5,67,21
1.50G,365.0,372.3,379.6,386.9,394.2,2,2.3,0.0,0.9,0.0,1,1
Unknown,0.2,0.4,198.7,398.8,404.1,4,0.1,0.0,0.0,0.0,1,1
