CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,0,1.0,64.0,128.0,149632,1150131,4190661.9,100.0,1016,131
2G,1,1.0,64.0,128.0,131072,921133,3075028.6,73.4,832,121
2.25G,1,3.0,128.0,128.0,131072,124140,817950.2,19.5,193,35
Unknown,0,2.0,2.0,128.0,149632,104804,297682.5,7.1,775,106
Highm1,8,8.0,8.0,8.0,8,54,0.6,0.0,1,1
