CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,16.0,128.0,149632,1539556,3931214.3,100.0,863,124
2G,1,1.0,16.0,128.0,131072,1464988,2705944.2,68.8,735,113
2.25G,1,64.0,384.0,1280.0,131072,18826,787757.0,20.0,111,30
Unknown,1,2.0,2.0,128.0,149632,55742,437513.2,11.1,635,95
