CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,512.0,2048.0,8192.0,524288,848745,1770544.9,100.0,640,100
2G,1,512.0,1536.0,7168.0,262144,759373,1494104.6,84.4,605,97
2.25G,1,1024.0,5120.0,15360.0,524288,88564,262613.3,14.8,78,20
Unknown,1,1920.0,4096.0,8192.0,32768,808,13827.0,0.8,30,18
