CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,32.0,128.0,524288,848745,1770544.9,100.0,640,100
2G,1,1.0,32.0,128.0,262144,759373,1494104.6,84.4,605,97
2.25G,1,1.0,4.0,32.0,524288,88564,262613.3,14.8,78,20
Unknown,1,32.0,128.0,320.0,32768,808,13827.0,0.8,30,18
