CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,32.0,32.0,262144,2432547,3317882.9,100.0,847,135
2G,1,1.0,32.0,32.0,262144,2374611,2600247.2,78.4,755,129
2.25G,1,128.0,128.0,128.0,131072,54491,689156.8,20.8,134,31
Unknown,1,256.0,256.0,256.0,4096,3434,28459.0,0.9,25,15
2.50G,1024,1024.0,1024.0,1024.0,1024,5,19.7,0.0,1,1
High,1,1.0,1.0,96.2,128,6,0.0,0.0,3,3
