CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,1.0,16.0,524288,3818899,2640939.1,100.0,840,109
2G,1,1.0,1.0,3.0,524288,3636106,1740407.7,65.9,698,103
2.25G,1,8.0,128.0,384.0,131072,74733,617031.8,23.4,140,34
Unknown,1,2.0,6.0,128.0,128000,107814,283486.8,10.7,650,93
High,1,1.0,1.0,1.0,512,225,12.6,0.0,2,2
Highm1,1,1.0,1.0,4.0,8,21,0.3,0.0,1,1
