Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,8.0,18.0,80.0,4096,276497,4186226.6,100.0,1599815.1,100.0,866,107
Unidentified,1,10.0,64.0,82.0,4096,134433,1730904.6,41.3,660815.9,41.3,765,102
VASP,1,4.0,8.0,32.0,831,28901,670330.6,16.0,249745.3,15.6,157,18
Nektar++,1,48.0,64.0,81.0,100,4171,271427.7,6.5,102174.0,6.4,12,4
OpenFOAM,1,8.0,15.0,200.0,200,3263,161139.3,3.8,60173.7,3.8,49,16
Python,1,10.0,10.0,16.0,958,5249,132018.8,3.2,43956.6,2.7,65,29
GROMACS,1,3.0,6.0,16.0,36,18569,126706.4,3.0,63780.1,4.0,37,7
NEMO,1,10.0,30.0,100.0,124,3338,117336.0,2.8,39644.8,2.5,22,3
CP2K,1,8.0,8.0,8.0,36,9899,103459.8,2.5,38109.0,2.4,40,6
LAMMPS,1,2.0,4.0,10.0,1024,5336,93119.3,2.2,43057.8,2.7,39,13
FHI aims,1,2.0,6.0,16.0,128,5791,82494.2,2.0,34457.6,2.2,28,5
Met Office UM,1,9.0,9.0,21.0,48,36335,71947.0,1.7,23849.3,1.5,18,6
GENE,2,80.0,80.0,80.0,80,63,67899.2,1.6,26857.9,1.7,2,1
ONETEP,1,6.0,8.0,32.0,32,619,67176.0,1.6,23247.1,1.5,9,3
CASTEP,1,4.0,8.0,30.0,50,2203,57191.0,1.4,18521.3,1.2,29,4
Code_Saturne,1,1024.0,4096.0,4096.0,4096,122,47955.3,1.1,16642.1,1.0,5,2
Quantum Espresso,1,2.0,8.0,16.0,50,2920,38907.5,0.9,14785.5,0.9,28,8
HYDRA,1,20.0,20.0,40.0,300,450,37436.2,0.9,14533.6,0.9,16,9
CRYSTAL,1,8.0,50.0,50.0,50,205,32781.8,0.8,12583.0,0.8,8,3
OpenSBLI,4,40.0,100.0,500.0,1024,28,32021.4,0.8,10589.0,0.7,3,2
CESM,1,9.0,9.0,14.0,50,865,31752.8,0.8,12168.5,0.8,10,2
3DNS,91,91.0,91.0,91.0,91,17,28379.6,0.7,14790.8,0.9,1,1
SENGA,1,16.0,16.0,16.0,51,96,26635.5,0.6,13579.3,0.8,7,4
Hydro3D,1,20.0,20.0,282.0,282,58,25128.5,0.6,9372.5,0.6,3,2
MITgcm,1,2.0,2.0,2.0,9,6453,24498.8,0.6,9612.5,0.6,11,3
ChemShell,1,8.0,8.0,8.0,8,234,16427.9,0.4,7361.4,0.5,6,1
a.out,1,1.0,16.0,32.0,32,1798,11569.5,0.3,4389.8,0.3,10,4
Xcompact3d,1,16.0,16.0,16.0,32,181,10580.1,0.3,4050.8,0.3,6,3
WRF,1,3.0,3.0,3.0,4,86,10559.7,0.3,4201.7,0.3,6,2
NAMD,1,1.0,1.0,5.0,12,867,8304.1,0.2,4467.2,0.3,5,3
SIESTA,1,1.0,9.0,18.0,18,1086,8076.3,0.2,3044.5,0.2,4,1
EPOCH,2,8.0,16.0,32.0,162,322,7179.9,0.2,2623.4,0.2,6,1
DL_POLY,1,8.0,8.0,8.0,10,114,6937.6,0.2,2644.6,0.2,2,2
TPLS,16,16.0,16.0,16.0,32,17,4478.0,0.1,1673.3,0.1,2,1
GS2,1,12.0,12.0,12.0,12,89,4166.0,0.1,1572.7,0.1,3,2
NWChem,1,1.0,1.0,1.0,4,921,3393.7,0.1,1049.1,0.1,8,3
RMT,10,14.0,14.0,14.0,20,93,3116.7,0.1,1110.8,0.1,2,1
iIMB,18,18.0,18.0,18.0,18,6,2501.7,0.1,974.0,0.1,1,1
VAMPIRE,2,8.0,8.0,8.0,8,768,2236.2,0.1,777.9,0.0,4,2
Nek5000,8,8.0,8.0,8.0,16,55,2162.7,0.1,804.1,0.1,2,1
Smilei,1,8.0,8.0,16.0,32,58,2117.7,0.1,702.6,0.0,2,1
PDNS3D,2,8.0,8.0,8.0,8,15,944.8,0.0,400.2,0.0,1,1
OSIRIS,8,32.0,32.0,32.0,32,7,751.9,0.0,223.7,0.0,1,1
AxiSEM3D,1,10.0,10.0,10.0,1024,44,609.2,0.0,206.5,0.0,2,1
DL_MESO,2,2.0,2.0,2.0,2,16,381.9,0.0,115.3,0.0,1,1
GAMESS,1,1.0,1.0,1.0,1,137,373.0,0.0,139.9,0.0,3,1
ptau3d,1,10.0,10.0,20.0,20,9,295.4,0.0,102.9,0.0,4,2
PeleLMeX,1,4.0,4.0,27.0,256,58,245.8,0.0,83.1,0.0,3,2
Arm Forge,1,1.0,2.0,2.0,16,71,82.2,0.0,21.6,0.0,4,4
UKRmol+,4,4.0,4.0,4.0,4,16,74.8,0.0,22.1,0.0,1,1
ABINIT,1,1.0,1.0,1.0,1,7,6.4,0.0,3.3,0.0,1,1
Zacros,1,1.0,1.0,1.0,3,38,6.1,0.0,1.2,0.0,1,1
