Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1.0,8.0,32.0,64.0,1024.0,252315,1561959.3,100.0,611911.5,100.0,590,97
Unidentified,1.0,16.0,35.0,64.0,1024.0,218784,452419.4,29.0,167966.3,27.4,415,83
VASP,1.0,4.0,10.0,16.0,474.0,11890,222721.8,14.3,86135.9,14.1,100,12
Met Office UM,1.0,196.0,196.0,196.0,196.0,3067,133525.1,8.5,58273.6,9.5,16,2
CP2K,1.0,8.0,32.0,43.0,200.0,1728,108333.4,6.9,36417.1,6.0,32,9
GROMACS,1.0,6.0,12.0,48.0,96.0,2432,95831.4,6.1,49151.4,8.0,28,6
OpenFOAM,1.0,12.0,20.0,54.0,100.0,497,67272.5,4.3,25709.4,4.2,28,8
LAMMPS,1.0,8.0,10.0,20.0,1024.0,2617,64875.0,4.2,26332.7,4.3,33,14
CASTEP,1.0,3.0,8.0,32.0,64.0,3122,54708.9,3.5,23105.0,3.8,28,6
iIMB,2.0,84.0,84.0,84.0,84.0,82,48660.7,3.1,18693.5,3.1,2,2
Nektar++,1.0,5.0,30.0,56.0,78.0,421,39930.7,2.6,14890.1,2.4,9,3
SENGA,1.0,27.0,128.0,128.0,128.0,19,33048.4,2.1,17855.1,2.9,2,1
Python,1.0,10.0,10.0,66.0,512.0,2219,31502.6,2.0,10669.1,1.7,24,11
Nek5000,100.0,200.0,200.0,200.0,200.0,8,31204.7,2.0,11990.3,2.0,2,2
FHI aims,1.0,4.0,32.0,48.0,128.0,508,19666.1,1.3,7236.2,1.2,13,3
PeleLMeX,2.0,12.0,16.0,32.0,32.0,70,19003.2,1.2,7127.7,1.2,2,1
BOUT++,6.0,14.0,14.0,14.0,14.0,74,14334.6,0.9,5304.0,0.9,1,1
MITgcm,1.0,1.0,2.0,2.0,3.0,693,14163.9,0.9,5221.6,0.9,8,2
ChemShell,1.0,16.0,48.0,64.0,96.0,45,11529.8,0.7,3778.4,0.6,4,1
NEMO,1.0,9.0,37.0,50.0,100.0,359,10268.9,0.7,3528.3,0.6,17,2
HYDRA,1.0,5.0,8.0,10.0,40.0,260,9967.8,0.6,3964.4,0.6,8,4
Code_Saturne,1.0,16.0,16.0,16.0,24.0,33,9316.9,0.6,3518.7,0.6,3,3
GENE,1.0,24.0,32.0,32.0,32.0,201,8058.2,0.5,3450.3,0.6,4,2
EPOCH,1.0,40.0,40.0,80.0,200.0,48,7546.6,0.5,2894.0,0.5,2,1
EDAMAME,1.0,11.0,11.0,123.0,123.0,97,6346.7,0.4,2353.6,0.4,2,1
OSIRIS,8.0,96.0,96.0,96.0,96.0,30,5960.5,0.4,2024.2,0.3,1,1
ONETEP,1.0,10.0,10.0,14.0,32.0,102,5812.9,0.4,1962.7,0.3,8,2
CRYSTAL,1.0,12.0,24.0,24.0,24.0,187,5219.2,0.3,1082.7,0.2,3,1
Xcompact3d,1.0,24.0,24.0,24.0,24.0,26,5144.8,0.3,1652.5,0.3,6,3
WRF,3.0,3.0,3.0,3.0,3.0,30,5078.8,0.3,1961.2,0.3,2,1
Quantum Espresso,1.0,4.0,6.0,6.0,8.0,1258,4016.3,0.3,1662.5,0.3,11,3
SBLI,8.0,64.0,64.0,64.0,1024.0,15,3934.9,0.3,1479.5,0.2,3,3
OpenSBLI,32.0,64.0,64.0,64.0,1024.0,11,3455.6,0.2,1293.6,0.2,2,2
Smilei,1.0,4.0,16.0,16.0,32.0,506,2708.3,0.2,776.8,0.1,2,1
NWChem,1.0,4.0,4.0,4.0,8.0,111,2552.2,0.2,858.3,0.1,6,5
NAMD,1.0,2.0,4.0,4.0,4.0,61,1511.5,0.1,664.8,0.1,3,3
a.out,1.0,1.0,1.0,2.0,4.0,345,1300.4,0.1,490.1,0.1,5,5
SU2,1.0,10.0,10.0,10.0,10.0,18,1231.6,0.1,470.9,0.1,1,1
Hydro3D,17.0,17.0,17.0,17.0,17.0,4,1212.6,0.1,434.0,0.1,1,1
VAMPIRE,1.0,8.0,8.0,8.0,64.0,123,718.2,0.0,287.6,0.0,5,3
CESM,2.0,4.0,4.0,4.0,15.0,39,528.1,0.0,184.5,0.0,4,2
FDS,2.0,2.0,2.0,2.0,2.0,10,432.1,0.0,239.4,0.0,1,1
RMT,4.0,13.0,13.0,13.0,13.0,34,310.7,0.0,95.4,0.0,3,1
GS2,2.0,2.0,2.0,2.0,2.0,44,30.9,0.0,12.5,0.0,1,1
Arm Forge,1.0,1.0,1.0,1.0,1.0,45,8.1,0.0,1.6,0.0,4,4
AxiSEM3D,1.0,1.0,1.0,1.0,1.0,23,8.0,0.0,3.3,0.0,1,1
ptau3d,4.0,4.0,4.0,4.0,4.0,9,1.3,0.0,0.3,0.0,1,1
TPLS,1.0,1.0,1.0,1.0,1.0,21,0.6,0.0,0.1,0.0,1,1
