CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,8.0,256.0,262144,1864945,3547969.3,100.0,775,121
2G,1,1.0,1.0,256.0,262144,1693290,2761486.1,77.8,710,114
2.25G,1,12.0,24.0,1024.0,131072,50707,762950.4,21.5,123,34
Unknown,1,16.0,16.0,16.0,50217,120928,23531.0,0.7,15,9
High,384,384.0,384.0,384.0,384,20,1.7,0.0,1,1
