CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,1.0,1.0,131072,4349498,2240664.5,100.0,757,109
2G,1,1.0,1.0,1.0,131072,4299228,1762459.9,78.7,708,105
2.25G,1,60.0,125.0,640.0,131072,50156,478204.4,21.3,78,22
Unknown,1,1.0,1.0,4.0,256,23,0.2,0.0,4,3
1.50G,1,1.0,1.0,1.0,1,91,0.0,0.0,2,2
