CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,896.0,1568.0,8192.0,375040,1204700,3765805.4,100.0,899,131
2G,1,512.0,1536.0,7680.0,375040,1165125,2742961.3,72.8,779,121
2.25G,1,1024.0,2048.0,12544.0,131072,35326,982808.9,26.1,165,36
Unknown,1,512.0,1024.0,1024.0,16384,4247,40035.2,1.1,22,14
225M,1,1.0,1.0,1.0,1,2,0.0,0.0,1,1
