CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,1.0,128.0,524288,3645902,3405862.2,100.0,889,132
2G,1,1.0,1.0,128.0,524288,3607934,2718176.3,79.8,793,121
2.25G,1,40.0,128.0,512.0,131072,36372,669040.6,19.6,147,31
Unknown,1,1.0,128.0,512.0,2560,1592,18643.5,0.5,17,11
1.50G,128,128.0,128.0,128.0,128,4,1.9,0.0,1,1
