CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,128.0,128.0,262144,2723804,3933345.6,100.0,907,117
2G,1,1.0,128.0,128.0,171475,2559844,3024382.7,76.9,755,101
2.25G,1,16.0,128.0,512.0,131072,47406,662282.6,16.8,143,38
Unknown,1,2.0,128.0,512.0,262144,116408,246654.1,6.3,678,103
2.40G,64,128.0,256.0,256.0,256,146,26.1,0.0,1,1
