CPUFreq,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,640.0,2048.0,8192.0,524288,4294756,3680385.9,100.0,897,118
2G,1,546.0,1664.0,8192.0,524288,4247798,3130751.6,85.1,833,114
2.25G,1,1024.0,5120.0,8192.0,131072,46859,549612.0,14.9,124,28
Unknown,1,128.0,128.0,128.0,1536,96,22.3,0.0,13,8
High,1,1.0,1.0,1.0,1,2,0.0,0.0,1,1
1.75G,1,1.0,1.0,1.0,1,1,0.0,0.0,1,1
