Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1,16.0,16.0,32.0,524288,2165760,3704319.4,100.0
VASP,3,32.0,32.0,256.0,43520,247933,1226753.5,33.1
Unidentified,1,1.0,128.0,256.0,524288,83927,859191.8,23.2
PDNS3D,2560,3200.0,3200.0,6400.0,32000,326,335924.5,9.1
LAMMPS,1,16.0,128.0,512.0,16384,5729,200599.3,5.4
cp2k,1,128.0,128.0,256.0,262144,6283,194249.6,5.2
iIMB,256,1024.0,1536.0,4224.0,8192,664,109577.4,3.0
CASTEP,1,16.0,16.0,32.0,10240,1762102,108440.3,2.9
Python,1,1.0,1.0,128.0,65536,5118,92085.0,2.5
Nek5000,64,640.0,1280.0,2048.0,12800,231,63176.2,1.7
OpenFOAM,1,384.0,384.0,512.0,5120,1796,53428.5,1.4
Gromacs,1,1.0,64.0,64.0,2304,18002,53103.2,1.4
NEMO,1,12.0,456.0,1224.0,9728,5040,51044.9,1.4
ChemShell,1,128.0,512.0,768.0,2048,747,50507.7,1.4
FHI aims,1,128.0,256.0,1024.0,25600,16139,48475.7,1.3
EPOCH,1,256.0,3840.0,5760.0,65536,115,45271.5,1.2
Nektar++,128,4736.0,6144.0,12288.0,24576,126,39691.6,1.1
RMT,1,4.0,256.0,1792.0,19584,479,28834.2,0.8
CRYSTAL,8,256.0,768.0,1280.0,65536,363,24302.9,0.7
Met Office UM,1,128.0,128.0,224.0,262144,733,23406.5,0.6
ONETEP,1,4.0,4.0,64.0,1024,2014,17574.9,0.5
PRECISE,768,768.0,768.0,768.0,768,44,15158.1,0.4
SENGA,64,128.0,384.0,16384.0,16384,20,10592.9,0.3
ptau3d,80,116.0,224.0,256.0,512,8,9379.0,0.3
Quantum Espresso,12,128.0,128.0,1024.0,2048,3698,7983.0,0.2
Smilei,128,2048.0,2048.0,2048.0,2048,287,7302.7,0.2
Code_Saturne,4096,28672.0,65536.0,131072.0,262144,56,5993.4,0.2
MITgcm,1,200.0,252.0,252.0,2000,1573,5317.5,0.1
NWChem,28,128.0,256.0,512.0,1280,157,4939.3,0.1
HYDRA,1,1.0,1.0,1.0,2560,746,3484.0,0.1
GS2,256,2048.0,2048.0,2048.0,9216,751,2860.8,0.1
SIESTA,8,160.0,384.0,512.0,768,39,2330.0,0.1
HemeLB,128,256.0,1024.0,1280.0,3072,21,2025.7,0.1
SBLI,4096,4096.0,4096.0,35840.0,131072,8,393.1,0.0
TPLS,4,80.0,1024.0,3584.0,32768,31,263.0,0.0
AxiSEM3D,64,64.0,128.0,320.0,768,14,248.1,0.0
ECHAM,384,384.0,384.0,384.0,384,19,134.9,0.0
CESM,64,64.0,192.0,512.0,768,48,105.4,0.0
NAMD,127,128.0,128.0,128.0,256,103,83.6,0.0
DL_POLY,4,128.0,512.0,512.0,512,70,53.5,0.0
HANDE,1,1.0,1.0,1.0,1,102,16.6,0.0
WRF,72,72.0,72.0,72.0,72,1,15.5,0.0
CloverLeaf,1,6.5,24.0,44.5,64,87,0.1,0.0
FVCOM,1,1.0,1.0,1.0,2,10,0.0,0.0
