Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1,256.0,2048.0,6016.0,524288,2448648,4558847.5,100.0
Unidentified,1,1.0,1024.0,6016.0,524288,87509,1506351.3,33.0
VASP,3,256.0,1024.0,4096.0,43520,490264,1243529.7,27.3
PDNS3D,2560,3200.0,6400.0,6400.0,32000,331,335966.0,7.4
cp2k,1,128.0,640.0,3200.0,262144,6463,220673.0,4.8
LAMMPS,1,1536.0,5120.0,8960.0,16384,6076,219476.5,4.8
CASTEP,1,32.0,512.0,2560.0,10240,1762830,154117.4,3.4
iIMB,256,3072.0,4224.0,4608.0,8192,664,109577.4,2.4
Gromacs,1,264.0,512.0,640.0,8192,50822,103128.6,2.3
Python,1,2048.0,16384.0,16384.0,65536,6022,102226.3,2.2
Nek5000,64,1280.0,2048.0,5120.0,12800,266,65927.9,1.4
FHI aims,1,128.0,1024.0,1024.0,25600,16902,61198.3,1.3
OpenFOAM,1,512.0,1280.0,2048.0,5120,1942,55411.8,1.2
NEMO,1,2544.0,5040.0,5040.0,9728,5185,51199.1,1.1
ChemShell,1,512.0,512.0,1024.0,2048,753,50509.3,1.1
EPOCH,1,5760.0,32768.0,32768.0,65536,126,45273.3,1.0
Nektar++,128,8192.0,12288.0,12288.0,24576,163,40540.0,0.9
RMT,1,1280.0,3712.0,6400.0,19584,491,29341.7,0.6
ONETEP,1,64.0,128.0,128.0,1024,2018,29186.9,0.6
CRYSTAL,8,2560.0,8192.0,32768.0,65536,454,25602.3,0.6
Met Office UM,1,6464.0,12480.0,12480.0,262144,739,23414.5,0.5
PRECISE,768,768.0,768.0,768.0,768,44,15158.1,0.3
SENGA,64,16384.0,16384.0,16384.0,16384,27,10610.7,0.2
ptau3d,80,192.0,512.0,512.0,512,9,9793.2,0.2
Quantum Espresso,12,256.0,768.0,1024.0,2048,4216,9235.8,0.2
Smilei,128,2048.0,2048.0,2048.0,2048,290,7302.8,0.2
Code_Saturne,512,131072.0,131072.0,131072.0,262144,65,6971.3,0.2
MITgcm,1,200.0,354.0,354.0,2000,1592,6105.7,0.1
NWChem,28,512.0,768.0,768.0,1280,162,5428.8,0.1
HYDRA,1,2560.0,2560.0,2560.0,2560,829,4439.1,0.1
GS2,256,2048.0,2048.0,2048.0,9216,751,2860.8,0.1
SIESTA,8,640.0,640.0,640.0,768,40,2330.1,0.1
HemeLB,128,1024.0,1024.0,1280.0,3072,29,2137.4,0.0
HANDE,1,1.0,1.0,1.0,1,117,2120.7,0.0
TPLS,4,24.0,1024.0,32768.0,32768,51,455.0,0.0
SBLI,4096,131072.0,131072.0,131072.0,131072,8,393.1,0.0
ECHAM,384,384.0,384.0,384.0,384,25,312.7,0.0
AxiSEM3D,64,128.0,128.0,384.0,768,14,266.7,0.0
CESM,64,512.0,512.0,512.0,768,56,106.1,0.0
NAMD,127,128.0,128.0,128.0,256,130,85.2,0.0
DL_POLY,4,256.0,512.0,512.0,512,74,53.6,0.0
WRF,72,72.0,72.0,72.0,72,1,27.5,0.0
CloverLeaf,1,1.0,3.0,13.0,64,88,1.8,0.0
FVCOM,1,1.0,1.0,1.0,2,10,0.1,0.0
